,order_id,categoria,categoria_final
1287,3359d2d84d5a8f9b5f53c65f926c5ec1,['CASA E CONFORTO'],CASA E CONFORTO
1288,33621dd1b751a02342dc065c32f1c96c,['PET SHOP'],PET SHOP
1289,33797bbcfc4f22d40110f77692f83c78,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1290,337ed97aec5fea9e7e8169cf04876433,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1291,3382c4920abfc57a48aa39d9120f3f67,['BEBES'],BEBES
1292,338d2237cff9d84c960705a68b88c638,['MODA E BELEZA'],MODA E BELEZA
1293,3395f0e2fca688abae0a09d15ff5ca75,['MODA E BELEZA'],MODA E BELEZA
1294,33a3edb84b9df4cb49546859b990ac6d,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1295,33a5adbe3c5999ca418351ca4cd8bbdc,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1296,33b1b34b5bb565c5bdea6e2995ac1cab,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1297,33b3e9a4e73233190d8644e4a37d2755,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1298,33b5d784209aa1c1950cec3c9cf0568d,['CASA E CONFORTO'],CASA E CONFORTO
1299,33cfab47136079a808c8d12d7f61730b,['MODA E BELEZA'],MODA E BELEZA
1300,33d425553bc88c255ddeb68ab933167e,['CASA E CONFORTO'],CASA E CONFORTO
1301,33d949de3be3df6e3cf017b6ec4aae4c,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1302,33f1e992ba3e439bfd0d432164a3d44a,['AUTOMOTIVO'],AUTOMOTIVO
1303,3409538db935345d2d9bf4e77cd2a5d3,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1304,3413eb8515318f34dd2984e1b4b301fd,['PET SHOP'],PET SHOP
